pair_id,english_text,spanish_text
49,"Elinor, too, was deeply afflicted; but still she could struggle, she could exert herself.","También Elinor estaba profundamente afligida, pero aún podía luchar, y esforzarse."
53,Mrs. John Dashwood now installed herself mistress of Norland; and her mother and sisters-in-law were degraded to the condition of visitors.,"La señora de John Dashwood se instaló como dueña y señora de Norland, y su suegra y cuñadas descendieron a la categoría de visitantes."
56,"A continuance in a place where everything reminded her of former delight, was exactly what suited her mind.","Quedarse en un lugar donde todo le recordaba antiguos deleites, era exactamente lo que sentaba a su mente."
57,"In seasons of cheerfulness, no temper could be more cheerful than hers, or possess, in a greater degree, that sanguine expectation of happiness which is happiness itself.","En los buenos tiempos, nadie tenía un temperamento más alegre que el de ella o poseía en mayor grado esa optimista expectativa de felicidad que es la felicidad misma."
58,"But in sorrow she must be equally carried away by her fancy, and as far beyond consolation as in pleasure she was beyond alloy.","Pero también en la pena se dejaba llevar por la fantasía, y se hacía tan inaccesible al consuelo como en el placer estaba más allá de toda moderación."
59,Mrs. John Dashwood did not at all approve of what her husband intended to do for his sisters.,La señora de John Dashwood no aprobaba en absoluto lo que su esposo se proponía hacer por sus hermanas.
60,To take three thousand pounds from the fortune of their dear little boy would be impoverishing him to the most dreadful degree.,Disminuir en tres mil libras la fortuna de su querido muchachito significaría empobrecerlo de la manera más atroz.
62,"How could he answer it to himself to rob his child, and his only child too, of so large a sum?","¿Cómo podría justificarse ante sí mismo si privara a su hijo, su único hijo, de tan enorme suma?"
66,"Had he been in his right senses, he could not have thought of such a thing as begging you to give away half your fortune from your own child.""","Si hubiera estado en sus cabales no podría habérsele ocurrido pedirte algo así, que despojaras a tu propio hijo de la mitad de tu fortuna."
68,Perhaps it would have been as well if he had left it wholly to myself.,Quizá habría sido mejor que dejara todo a mi criterio.
70,"But as he required the promise, I could not do less than give it; at least I thought so at the time.","Pero como él quiso que se lo prometiera, no pude menos que hacerlo. Al menos, fue lo que pensé en ese momento."
72,"Something must be done for them whenever they leave Norland and settle in a new home.""",Algo hay que hacer por ellas cuando dejen Norland y se establezcan en un nuevo hogar.
73,"""Well, then, LET something be done for them; but THAT something need not be three thousand pounds.","-Está bien, entonces, hay que hacer algo por ellas; pero ese algo no necesita ser tres mil libras."
74,"Consider,"" she added, ""that when the money is once parted with, it never can return.","Ten en cuenta -agregó- que cuando uno se desprende del dinero, nunca más lo recupera."
75,"Your sisters will marry, and it will be gone for ever.","Tus hermanas se casarán, y se habrá ido para siempre."
76,"If, indeed, it could be restored to our poor little boy--""",Si siquiera algún día se lo pudieran devolver a nuestro pobre hijito...
77,"""Why, to be sure,"" said her husband, very gravely, ""that would make great difference.","-Pero, por supuesto -dijo su esposo con gran seriedad-, eso cambiaría todo."
78,The time may come when Harry will regret that so large a sum was parted with.,Puede llegar un momento en que Harry lamente haberse separado de una suma tan grande.
79,"If he should have a numerous family, for instance, it would be a very convenient addition.""","Si, por ejemplo, llegara a tener una familia numerosa, sería un muy conveniente suplemento a sus rentas."
81,"""Perhaps, then, it would be better for all parties, if the sum were diminished one half.--Five hundred pounds would be a prodigious increase to their fortunes!""","-Quizá, entonces, sería mejor para todos si se disminuyera la cantidad a la mitad. Quinientas libras significarían un portentoso incremento en sus fortunas."
83,"What brother on earth would do half so much for his sisters, even if REALLY his sisters!","¡Qué persona en el mundo haría siquiera la mitad por sus hermanas, incluso si fuesen verdaderas hermanas!"
84,"And as it is--only half blood!--But you have such a generous spirit!""","Y en este caso... ¡sólo medias hermanas! Pero, ¡tienes un espíritu tan generoso!"
85,"""I would not wish to do any thing mean,"" he replied.",-No querría hacer nada mezquino -respondió él-.
86,"""One had rather, on such occasions, do too much than too little.","En estas ocasiones, uno preferiría hacer demasiado antes que muy poco."
87,"No one, at least, can think I have not done enough for them: even themselves, they can hardly expect more.""","Al menos, nadie puede pensar que no he hecho suficiente por ellas; incluso ellas mismas, difícilmente pueden esperar más."
88,"""There is no knowing what THEY may expect,"" said the lady, ""but we are not to think of their expectations: the question is, what you can afford to do.""","-Imposible saber qué podrían esperar ellas -dijo la señora-, pero no nos corresponde pensar en sus expectativas. El punto es qué puedes permitirte hacer."
89,"""Certainly--and I think I may afford to give them five hundred pounds a-piece.","-Indudablemente, y creo que puedo permitirme darle quinientas libras a cada una."
90,"As it is, without any addition of mine, they will each have about three thousand pounds on their mother's death--a very comfortable fortune for any young woman.""","Tal como están las cosas, sin que yo agregue nada, cada una tendrá más de tres mil libras a la muerte de su madre: una fortuna muy satisfactoria para cualquier mujer joven."
91,"""To be sure it is; and, indeed, it strikes me that they can want no addition at all.","-Claro que lo es; y, en verdad, se me ocurre que quizá no quieran ninguna suma adicional."
93,"If they marry, they will be sure of doing well, and if they do not, they may all live very comfortably together on the interest of ten thousand pounds.""","Si se casan, seguramente harán un buen matrimonio; y si no lo hacen, pueden vivir juntas de manera muy holgada con los intereses de las diez mil libras."
96,"His wife hesitated a little, however, in giving her consent to this plan.","Su esposa dudó un tanto, sin embargo, en dar su aprobación a este plan."
97,"""To be sure,"" said she, ""it is better than parting with fifteen hundred pounds at once.","-De todas maneras dijo-, es mejor que separarse de quinientas libras de una vez."
98,"But, then, if Mrs. Dashwood should live fifteen years we shall be completely taken in.""","Pero si la señora Dashwood vive quince años más, eso se va a transformar en un abuso."
99,"""Fifteen years! my dear Fanny; her life cannot be worth half that purchase.""","-¡Quince años! Mi querida Fanny, su vida no puede valer ni la mitad de tal cantidad."
101,"An annuity is a very serious business; it comes over and over every year, and there is no getting rid of it.",Una pensión anual es asunto muy serio; se repite año tras año y no hay forma de librarse de ella.
107,"It has given me such an abhorrence of annuities, that I am sure I would not pin myself down to the payment of one for all the world.""","De allí me ha venido tal aborrecimiento a las pensiones, que estoy segura de que por nada del mundo me ataré al pago de una."
108,"""It is certainly an unpleasant thing,"" replied Mr. Dashwood, ""to have those kind of yearly drains on one's income.",-En verdad es desagradable -replicó el señor Dashwood- que cada año se escurra de esa forma parte del ingreso de uno.
109,"One's fortune, as your mother justly says, is NOT one's own.","Los bienes con que uno cuenta, como tan justamente dice tu madre, no son de uno."
110,"To be tied down to the regular payment of such a sum, on every rent day, is by no means desirable: it takes away one's independence.""","Estar obligado a pagar regularmente una suma como ésa en fechas fijas, no es para nada deseable: lo priva a uno de su independencia."
112,"They think themselves secure, you do no more than what is expected, and it raises no gratitude at all.","Sienten que están asegurados, no haces más de lo que se espera de ti y ello no despierta ninguna gratitud."
113,"If I were you, whatever I did should be done at my own discretion entirely.","Si estuviera en tu lugar, para cualquier cosa que hiciera me guiaría por mi solo criterio."
114,I would not bind myself to allow them any thing yearly.,No me comprometería a darles nada todos los años.
115,"It may be very inconvenient some years to spare a hundred, or even fifty pounds from our own expenses.""","Algunos años puede ser muy inconveniente desprenderse de cien, o incluso de cincuenta libras, sacándolas de nuestros propios gastos."
118,"A present of fifty pounds, now and then, will prevent their ever being distressed for money, and will, I think, be amply discharging my promise to my father.""","Un regalo de cincuenta libras de vez en cuando impedirá que se aflijan por asuntos de dinero, y pienso que saldará ampliamente la promesa hecha a mi padre."
120,"Indeed, to say the truth, I am convinced within myself that your father had no idea of your giving them any money at all.","A decir verdad, estoy íntimamente convencida de que la idea de tu padre no era en absoluto que les dieras dinero."
122,"I'll lay my life that he meant nothing farther; indeed, it would be very strange and unreasonable if he did.","Apostaría mi vida a que no estaba pensando en más que eso; en verdad, sería bastante raro e improcedente si hubiera pretendido otra cosa."
124,"Altogether, they will have five hundred a-year amongst them, and what on earth can four women want for more than that?--They will live so cheap!","Entre todas juntarán quinientas libras anuales, y ¿se te ocurre para qué van a querer más cuatro mujeres? ¡Les saldrá tan barato vivir!"
126,"They will have no carriage, no horses, and hardly any servants; they will keep no company, and can have no expenses of any kind!","No tendrán carruajes ni caballos, y casi ningún sirviente; no recibirán visitas, ¡y qué gastos van a tener!"
129,"I am sure I cannot imagine how they will spend half of it; and as to your giving them more, it is quite absurd to think of it.","No puedo ni imaginar cómo gastarán siquiera la mitad; y en cuanto a que les des más, es harto absurdo pensarlo."
131,"""Upon my word,"" said Mr. Dashwood, ""I believe you are perfectly right.","-A fe mía -dijo el señor Dashwood-, creo que tienes toda la razón."
132,My father certainly could mean nothing more by his request to me than what you say.,"De todas maneras, con su petición mi padre no puede haber querido decir sino lo que tú señalas."
133,"I clearly understand it now, and I will strictly fulfil my engagement by such acts of assistance and kindness to them as you have described.","Me parece muy claro ahora, y cumpliré estrictamente mi compromiso con algunas ayudas y gentilezas como las que has descrito."
134,When my mother removes into another house my services shall be readily given to accommodate her as far as I can.,"Cuando mi madre se traslade a otra casa, me pondré a su servicio en todo lo que me sea posible para acomodarla."
139,"Her house will therefore be almost completely fitted up as soon as she takes it.""","Y así, apenas se cambien tendrán su casa casi completamente equipada."
142,"And yet some of the plate would have been a very pleasant addition to our own stock here.""",Y parte de la platería habría sido aquí una muy grata adición a la nuestra.
143,"""Yes; and the set of breakfast china is twice as handsome as what belongs to this house.",-Sí; y la vajilla para el desayuno es doblemente hermosa que la de esta casa.
144,"A great deal too handsome, in my opinion, for any place THEY can ever afford to live in.","Demasiado hermosa, a mi juicio, para los lugares en que ellas pueden permitirse vivir."
153,"Mrs. Dashwood had been informed by her husband of the solemn promise on the part of his son in their favour, which gave comfort to his last earthly reflections.","La señora Dashwood había sido informada por su esposo respecto de la solemne promesa hecha por su hijo en favor de ella y sus hijas, la cual había llenado de consuelo sus últimos pensamientos en la tierra."
161,"It was enough for her that he appeared to be amiable, that he loved her daughter, and that Elinor returned the partiality.","Le bastaba que él pareciera afable, que amara a su hija y que esa simpatía fuera recíproca."
163,Edward Ferrars was not recommended to their good opinion by any peculiar graces of person or address.,No fueron dones especiales en su apariencia o trato los que hicieron merecedor a Edward Ferrars de la buena opinión de la señora Dashwood y sus hijas.
164,"He was not handsome, and his manners required intimacy to make them pleasing.",No era bien parecido y sólo en la intimidad llegaba a mostrar cuán agradable podía ser su trato.
165,"He was too diffident to do justice to himself; but when his natural shyness was overcome, his behaviour gave every indication of an open, affectionate heart.","Era demasiado inseguro para hacerse justicia a sí mismo; pero cuando vencía su natural timidez, su comportamiento revelaba un corazón franco y afectuoso."
166,"His understanding was good, and his education had given it solid improvement.",Era de buen entendimiento y la educación le había dado una mayor solidez en ese aspecto.
167,"But he was neither fitted by abilities nor disposition to answer the wishes of his mother and sister, who longed to see him distinguished--as--they hardly knew what.","Pero ni sus habilidades ni su inclinación lo dotaban para satisfacer los deseos de su madre y hermana, que anhelaban verlo distinguido como... apenas sabían como qué."
168,They wanted him to make a fine figure in the world in some manner or other.,Querían que de una manera u otra ocupara un lugar importante en el mundo.
169,"His mother wished to interest him in political concerns, to get him into parliament, or to see him connected with some of the great men of the day.","Su madre deseaba interesarlo en política, hacerlo llegar al parlamento o verlo conectado con alguno de los grandes hombres del momento."
172,All his wishes centered in domestic comfort and the quiet of private life.,Todos sus deseos se centraban en la comodidad doméstica y en la tranquilidad de la vida privada.
175,"She saw only that he was quiet and unobtrusive, and she liked him for it.","Unicamente vio que era callado y discreto, y le agradó por ello."
176,He did not disturb the wretchedness of her mind by ill-timed conversation.,No perturbaba con conversaciones inoportunas la desdicha que llenaba todos sus pensamientos.
178,"""It is enough,"" said she; ""to say that he is unlike Fanny is enough. It implies everything amiable.","La alusión a ese contraste lo situó muy decididamente en el favor de la madre. -Con eso basta -dijo-, basta con decir que no es como Fanny."
179,"I love him already."" ""I think you will like him,"" said Elinor, ""when you know more of him.""",Implica que en él se puede encontrar todo lo que hay de amable.
180,"""Like him!"" replied her mother with a smile. ""I feel no sentiment of approbation inferior to love.""","Ya lo amo. -Creo que llegará a gustarle -dijo Elinor- cuando lo conozca más. -¡Gustarme! -replicó la madre, con una sonrisa-."
181,"""You may esteem him."" ""I have never yet known what it was to separate esteem and love.""",No puedo abrigar ningún sentimiento de aprobación inferior al amor. -Podría estimarlo. -No he llegado a saber aún lo que es separar la estimación del amor.
186,"""In a few months, my dear Marianne."" said she, ""Elinor will, in all probability be settled for life.","-En unos pocos meses más, mi querida Marianne -le dijo-, con toda seguridad Elinor se habrá establecido para siempre."
189,"Mama, how shall we do without her?"" ""My love, it will be scarcely a separation.","¿Qué haremos sin ella? -Mi amor, apenas será una separación."
190,"We shall live within a few miles of each other, and shall meet every day of our lives.",Viviremos a unas pocas millas de distancia y nos veremos todos los días de la vida.
192,I have the highest opinion in the world of Edward's heart.,Tengo la mejor opinión del mundo sobre los sentimientos de Edward...
193,"But you look grave, Marianne; do you disapprove your sister's choice?""","Pero te noto seria, Marianne; ¿desapruebas la elección de tu hermana?"
197,"His eyes want all that spirit, that fire, which at once announce virtue and intelligence.","En sus ojos no se advierte todo ese espíritu, ese fuego, que anuncian a la vez virtud e inteligencia."
198,"And besides all this, I am afraid, Mama, he has no real taste.","Y además de esto, temo, mamá, que carece de verdadero gusto."
199,"Music seems scarcely to attract him, and though he admires Elinor's drawings very much, it is not the admiration of a person who can understand their worth.","Aparentemente la música apenas le interesa, y aunque admira mucho los dibujos de Elinor, no es la admiración de alguien que pueda entender su valor."
200,"It is evident, in spite of his frequent attention to her while she draws, that in fact he knows nothing of the matter.","Es evidente, a pesar de su asidua atención cuando ella dibuja, que de hecho no sabe nada en esta materia."
203,I could not be happy with a man whose taste did not in every point coincide with my own.,No podría ser feliz con un hombre cuyo gusto no coincidiera punto por punto con el mío.
204,"He must enter into all my feelings; the same books, the same music must charm us both.","El debe penetrar todos mis sentimientos; a ambos nos deben encantar los mismos libros, la misma música."
205,"Oh! mama, how spiritless, how tame was Edward's manner in reading to us last night!","¡Ay, mamá! ¡Qué falta de fuego, que mansa fue la actitud de Edward cuando nos leyó anoche!"
207,"Yet she bore it with so much composure, she seemed scarcely to notice it.","Y, sin embargo, ella lo sobrellevó con tanta compostura que apenas pareció notarlo."
210,"I thought so at the time; but you WOULD give him Cowper.""",Lo pensé en ese momento; pero tenías que pasarle a Cowper.
211,"""Nay, Mama, if he is not to be animated by Cowper!--but we must allow for difference of taste.","-No, mamá, ¡si ni Cowper es capaz de animarlo...! Pero debemos admitir que hay diferencias de gusto."
212,"Elinor has not my feelings, and therefore she may overlook it, and be happy with him.","En Elinor no se da mi manera de sentir, así que puede pasar esas cosas por alto y ser feliz con él."
213,"But it would have broke MY heart, had I loved him, to hear him read with so little sensibility.","Pero si yo lo amara, me habría destrozado el corazón escucharlo leer con tan poca sensibilidad."
214,"Mama, the more I know of the world, the more am I convinced that I shall never see a man whom I can really love.","Mamá, mientras más conozco el mundo, más convencida estoy de que jamás encontraré a un hombre al que realmente pueda amar."
216,"He must have all Edward's virtues, and his person and manners must ornament his goodness with every possible charm.""","Debe tener todas las virtudes de Edward, y su apariencia y modales deben adornar su bondad con todas las gracias posibles."
218,It is yet too early in life to despair of such a happiness.,Es todavía demasiado temprano en la vida para que desesperes de lograr tal felicidad.
220,"In one circumstance only, my Marianne, may your destiny be different from hers!""","¡Que en tan sólo una circunstancia, Marianne mía, tu destino sea diferente al de ella!"
222,"""What a pity it is, Elinor,"" said Marianne, ""that Edward should have no taste for drawing.""","-Qué lástima, Elinor -dijo Marianne-, que Edward carezca de gusto para el dibujo."
223,"""No taste for drawing!"" replied Elinor, ""why should you think so?",-Que carezca de gusto para el dibujo... ¿y qué te hace pensar eso? -replicó Elinor-.
225,"Had he ever been in the way of learning, I think he would have drawn very well.","Si alguna vez hubiera tenido la posibilidad de aprender, creo que habría dibujado muy bien."
228,"Yet, though smiling within herself at the mistake, she honoured her sister for that blind partiality to Edward which produced it.","No obstante, y aunque sonriendo para sí misma ante el error, rendía tributo a su hermana por esa ciega predilección por Edward que la llevaba a así equivocarse."
229,"""I hope, Marianne,"" continued Elinor, ""you do not consider him as deficient in general taste.","-Espero, Marianne -continuó Elinor-, que no lo consideres falto de gusto en general."
232,"She would not wound the feelings of her sister on any account, and yet to say what she did not believe was impossible.","Por ningún motivo quería herir los sentimientos de su hermana, pero le era imposible decir algo que no creía."
233,"At length she replied: ""Do not be offended, Elinor, if my praise of him is not in every thing equal to your sense of his merits.","Finalmente, respondió: -No te ofendas, Elinor, si los elogios que yo pueda hacer de Edward no se equiparan en todo a tu percepción de sus méritos."
236,"""I am sure,"" replied Elinor, with a smile, ""that his dearest friends could not be dissatisfied with such commendation as that.","-Estoy segura -respondió Elinor, con una sonrisa- de que sus amigos más queridos no quedarían disconformes con un elogio como ése."
237,"I do not perceive how you could express yourself more warmly.""",No me imagino cómo podrías expresarte con mayor calidez.
239,The excellence of his understanding and his principles can be concealed only by that shyness which too often keeps him silent.,"Tan sólo esa timidez que tantas veces lo lleva a guardar silencio puede haber ocultado la excelencia de su entendimiento, y sus principios."
240,You know enough of him to do justice to his solid worth.,Lo conoces lo suficiente para hacer justicia a la solidez de su valer.
241,"But of his minuter propensities, as you call them you have from peculiar circumstances been kept more ignorant than myself.","Pero de sus más mínimas tendencias, como tú las llamas, circunstancias específicas te han mantenido más ignorante que a mí."
242,"He and I have been at times thrown a good deal together, while you have been wholly engrossed on the most affectionate principle by my mother.","En diversas ocasiones él y yo nos hemos quedado mucho rato juntos, mientras tú, llevada por el más afectuoso de los impulsos, has estado completamente absorbida por mi madre."
244,His abilities in every respect improve as much upon acquaintance as his manners and person.,"Cuando se le conoce más, sus dotes mejoran en todos los terrenos, tal como lo hacen sus modales y apariencia."
246,"At present, I know him so well, that I think him really handsome; or at least, almost so.","En la actualidad lo conozco tan bien, que lo creo en verdad apuesto; o, al menos, casi."
248,"""I shall very soon think him handsome, Elinor, if I do not now.","-Muy pronto lo consideraré apuesto, Elinor, si es que ya no lo hago."
249,"When you tell me to love him as a brother, I shall no more see imperfection in his face, than I now do in his heart.""","Cuando me digas que lo ame como a un hermano, ya no veré imperfecciones en su rostro, como no las veo hoy en su corazón."
250,"Elinor started at this declaration, and was sorry for the warmth she had been betrayed into, in speaking of him.",Elinor se sobresaltó ante esta declaración y se arrepintió de haberse dejado traicionar por el calor de sus palabras.
252,She believed the regard to be mutual; but she required greater certainty of it to make Marianne's conviction of their attachment agreeable to her.,"Creía que el interés era mutuo, pero requería una mayor certeza al respecto para aceptar con agrado la convicción de Marianne acerca de sus relaciones."
253,"She knew that what Marianne and her mother conjectured one moment, they believed the next--that with them, to wish was to hope, and to hope was to expect.","Sabía que una conjetura que Marianne y su madre hacían en un momento dado, se transformaba en certeza al siguiente; que, con ellas, el deseo era esperanza y la esperanza, expectativa."
260,"Use those words again, and I will leave the room this moment.""","Utiliza esas palabras otra vez, y me iré de esta pieza de inmediato."
264,I am by no means assured of his regard for me.,No tengo seguridad alguna de su afecto por mí.
266,In my heart I feel little--scarcely any doubt of his preference.,"En lo más profundo de mi corazón, tengo pocas, casi ninguna duda de sus preferencias."
267,But there are other points to be considered besides his inclination.,"Pero hay otros puntos que deben ser tomados en cuenta, además de su interés."
270,"Marianne was astonished to find how much the imagination of her mother and herself had outstripped the truth. ""And you really are not engaged to him!"" said she.",Marianne quedó atónita al descubrir en qué medida la imaginación de su madre y la suya propia habían ido más allá de la verdad. -¡Y en verdad no estás comprometida con él! -dijo-.
274,"Oh! if he should be so far stimulated by your genius as to learn to draw himself, how delightful it would be!""","¡Ah! Si tu genio lo llevara a aprender a dibujar también, ¡qué delicioso sería!"
276,She could not consider her partiality for Edward in so prosperous a state as Marianne had believed it.,No podía considerar su inclinación por Edward bajo las favorables perspectivas que Marianne había supuesto.
277,"There was, at times, a want of spirits about him which, if it did not denote indifference, spoke of something almost as unpromising.","Había, en ocasiones, una falta de ánimo en él que, si no denotaba indiferencia, hablaba de algo casi igualmente poco prometedor."
278,"A doubt of her regard, supposing him to feel it, need not give him more than inquietude.","Si tenía dudas acerca del afecto que ella le profesaba, suponiendo que las tuviera, ello no debía producirle más que inquietud."
279,It would not be likely to produce that dejection of mind which frequently attended him.,No parecía posible que le causaran ese abatimiento de espíritu que a menudo le sobrevenía.
280,A more reasonable cause might be found in the dependent situation which forbade the indulgence of his affection.,"Una causa más razonable podía encontrarse en su situación de dependencia, que le vedaba la posibilidad de entregarse a sus afectos."
282,"With such a knowledge as this, it was impossible for Elinor to feel easy on the subject.","Sabiendo esto, a Elinor le era imposible sentirse tranquila."
283,"She was far from depending on that result of his preference of her, which her mother and sister still considered as certain.",Estaba lejos de confiar en ese resultado de las preferencias de Edward que su madre y hermana daban por seguro.
288,"In this state of her spirits, a letter was delivered to her from the post, which contained a proposal particularly well timed.",En este estado de ánimo estaba cuando le llegó una carta por correo con una propuesta particularmente oportuna.
289,"It was the offer of a small house, on very easy terms, belonging to a relation of her own, a gentleman of consequence and property in Devonshire.","Un caballero distinguido y dueño de importantes propiedades en Devonshire, pariente suyo, le ofrecía una casa pequeña en términos muy convenientes."
290,"The letter was from this gentleman himself, and written in the true spirit of friendly accommodation.","La carta, firmada por él mismo, estaba escrita en un tono amistosamente servicial."
304,Mrs. John Dashwood said nothing; but her husband civilly hoped that she would not be settled far from Norland.,"La señora de John Dashwood no dijo nada, pero su esposo manifestó cortésmente que esperaba que no se irían lejos de Norland."
311,"""It is but a cottage,"" she continued, ""but I hope to see many of my friends in it.","-No es sino una casita de campo -continuo-, pero espero ver allí a muchos de mis amigos."
313,She concluded with a very kind invitation to Mr. and Mrs. John Dashwood to visit her at Barton; and to Edward she gave one with still greater affection.,Concluyó con una muy generosa invitación al señor John Dashwood y a su esposa para que la visitaran en Barton; y a Edward le extendió otra con aun mayor afecto.
317,"It chiefly consisted of household linen, plate, china, and books, with a handsome pianoforte of Marianne's.","Consistían principalmente en ropa blanca, cubiertos, vajilla y libros, junto con un hermoso piano de Marianne."
319,"Mrs. Dashwood took the house for a twelvemonth; it was ready furnished, and she might have immediate possession.","La señora Dashwood arrendó la casa por un año; ya estaba amoblada, y podía tomar posesión de ella de inmediato."
321,"For the comfort of her children, had she consulted only her own wishes, she would have kept it; but the discretion of Elinor prevailed.","Si hubiera dependido de sus solos deseos, se lo habría quedado, para mayor comodidad de sus hijas; pero prevaleció el buen juicio de Elinor."
325,Now was the time when her son-in-law's promise to his father might with particular propriety be fulfilled.,"Como había descuidado hacerlo al llegar a la casa, el momento en que ellas la dejaban parecía el más adecuado para ello."
326,"Since he had neglected to do it on first coming to the estate, their quitting his house might be looked on as the most suitable period for its accomplishment.","Pero muy pronto la señora Dashwood abandonó toda esperanza al respecto y comenzó a convencerse, por el sentido general de sus palabras, de que su ayuda no iría más allá de haberlas mantenido durante seis meses en Norland."
330,Many were the tears shed by them in their last adieus to a place so much beloved.,"¡Cómo podrías saber lo que sufro al verte ahora desde este lugar, desde donde puede que no vuelva a verte! ¡Y ustedes, árboles que me son tan familiares!"
333,The first part of their journey was performed in too melancholy a disposition to be otherwise than tedious and unpleasant.,La primera parte del viaje transcurrió en medio de un ánimo tan melancólico que no pudo resultar sino tedioso y desagradable.
335,"It was a pleasant fertile spot, well wooded, and rich in pasture.","Era una comarca agradable, fértil, con grandes bosques y rica en pastizales."
336,"After winding along it for more than a mile, they reached their own house.","Tras un recorrido de más de una milla, llegaron a su propia casa."
337,A small green court was the whole of its demesne in front; and a neat wicket gate admitted them into it.,"En el frente, un pequeño jardín verde constituía la totalidad de sus dominios, al que una pulcra portezuela de rejas les permitió la entrada."
339,A narrow passage led directly through the house into the garden behind.,Un corredor angosto llevaba directamente a través de la casa al jardín del fondo.
340,"On each side of the entrance was a sitting room, about sixteen feet square; and beyond them were the offices and the stairs.",A ambos lados de la entrada había una salita de estar de aproximadamente dieciséis pies cuadrados; y luego estaban las dependencias de servicio y las escaleras.
341,Four bed-rooms and two garrets formed the rest of the house.,Cuatro dormitorios y dos buhardillas componían el resto de la casa.
342,It had not been built many years and was in good repair.,No había sido construida hacía muchos años y estaba en buenas condiciones.
343,"In comparison of Norland, it was poor and small indeed!--but the tears which recollection called forth as they entered the house were soon dried away.","En comparación con Norland, ¡ciertamente era pequeña y pobre! Pero las lágrimas que hicieron brotar los recuerdos al entrar a la casa muy pronto se secaron."
344,"They were cheered by the joy of the servants on their arrival, and each for the sake of the others resolved to appear happy.","Las alegró el gozo de los sirvientes a su llegada y cada una, pensando en las otras, decidió parecer contenta."
347,"High hills rose immediately behind, and at no great distance on each side; some of which were open downs, the others cultivated and woody.","Tras ella, y a no mucha distancia a ambos lados, se levantaban altas colinas, algunas de las cuales eran lomas abiertas, las otras cultivadas y boscosas."
348,"The village of Barton was chiefly on one of these hills, and formed a pleasant view from the cottage windows.","La aldea de Barton estaba situada casi en su totalidad en una de estas colinas, y ofrecía una agradable vista desde las ventanas de la casita."
349,"The prospect in front was more extensive; it commanded the whole of the valley, and reached into the country beyond.","La perspectiva por el frente era más amplia; se dominaba todo el valle, e incluso los campos en que éste desembocaba."
352,"Perhaps in the spring, if I have plenty of money, as I dare say I shall, we may think about building.","Quizá en la primavera, si tengo suficiente dinero, como me atrevo a decir que tendré, podremos pensar en construir."
355,But one must not expect every thing; though I suppose it would be no difficult matter to widen them.,"Pero no se puede esperar todo, aunque supongo que no seria difícil ampliarlas."
